"DateTime";"Viewers"
"2015-07-17 00:00:00";7079
"2015-07-18 00:00:00";7006
"2015-07-19 00:00:00";13434
"2015-07-20 00:00:00";22073
"2015-07-21 00:00:00";11884
"2015-07-22 00:00:00";7466
"2015-07-23 00:00:00";10777
"2015-07-24 00:00:00";11734
"2015-07-25 00:00:00";13565
"2015-07-26 00:00:00";6859
"2015-07-27 00:00:00";20244
"2015-07-28 00:00:00";9883
"2015-07-29 00:00:00";11963
"2015-07-30 00:00:00";12920
"2015-07-31 00:00:00";8996
"2015-08-01 00:00:00";22732
"2015-08-02 00:00:00";12355
"2015-08-03 00:00:00";12942
"2015-08-04 00:00:00";6097
"2015-08-05 00:00:00";11434
"2015-08-06 00:00:00";13330
"2015-08-07 00:00:00";9598
"2015-08-08 00:00:00";17050
"2015-08-09 00:00:00";14673
"2015-08-10 00:00:00";8592
"2015-08-11 00:00:00";12627
"2015-08-12 00:00:00";16046
"2015-08-13 00:00:00";8485
"2015-08-14 00:00:00";10897
"2015-08-15 00:00:00";16363
"2015-08-16 00:00:00";7804
"2015-08-17 00:00:00";7915
"2015-08-18 00:00:00";6041
"2015-08-19 00:00:00";7977
"2015-08-20 00:00:00";9609
"2015-08-21 00:00:00";8155
"2015-08-22 00:00:00";14042
"2015-08-23 00:00:00";7211
"2015-08-24 00:00:00";18899
"2015-08-25 00:00:00";7133
"2015-08-26 00:00:00";11051
"2015-08-27 00:00:00";6838
"2015-08-28 00:00:00";7965
"2015-08-29 00:00:00";6412
"2015-08-30 00:00:00";8270
"2015-08-31 00:00:00";13484
"2015-09-01 00:00:00";12603
"2015-09-02 00:00:00";12691
"2015-09-03 00:00:00";8447
"2015-09-04 00:00:00";16550
"2015-09-05 00:00:00";6139
"2015-09-06 00:00:00";14423
"2015-09-07 00:00:00";5271
"2015-09-08 00:00:00";12344
"2015-09-09 00:00:00";9606
"2015-09-10 00:00:00";8167
"2015-09-11 00:00:00";9604
"2015-09-12 00:00:00";16080
"2015-09-13 00:00:00";13822
"2015-09-14 00:00:00";11276
"2015-09-15 00:00:00";40501
"2015-09-16 00:00:00";37459
"2015-09-17 00:00:00";13651
"2015-09-18 00:00:00";8881
"2015-09-19 00:00:00";15063
"2015-09-20 00:00:00";8114
"2015-09-21 00:00:00";5573
"2015-09-22 00:00:00";11787
