,Release Date,PS3 and Xb360,PS4 and XbOne,PC,PS5 and XbSeriesX|S
0,17 Sep 2013,Original Release 1.0,,,
1,01 Oct 2013,1.01 Notes,,,
2,04 Oct 2013,1.02 Notes,,,
3,09 Oct 2013,1.03 Notes,,,
4,18 Oct 2013,1.04 Notes,,,
5,05 Nov 2013,1.05 Notes,,,
6,20 Nov 2013,Beach Bum Content Update[] 1.06 Notes,,,
7,10 Dec 2013,1.07 Notes,,,
8,17 Dec 2013,1.08 Notes,,,
9,11 Jan 2014,1.09 Notes,,,
10,13 Feb 2014,Valentine's Day Massacre Special[] 1.10 Notes,,,
11,04 Mar 2014,The Business Update[] 1.11 Notes,,,
12,8 Apr 2014,1.12 Notes,,,
13,13 May 2014,The High Life Update[] 1.13 Notes,,,
14,17 Jun 2014,"The ""I'm Not a Hipster"" Update[] 1.14 Notes",,,
15,01 Jul 2014,Independence Day Special[] 1.15 Notes,,,
16,19 Aug 2014,The San Andreas Flight School Update[] 1.16 Notes,,,
17,2 Oct 2014,The Last Team Standing Update[] 1.17 Notes,,,
18,18 Nov 2014,,Release 1.0,,
19,18 Nov 2014,,1.01 (Online 1.17) Notes,,
20,18 Nov 2014,1.18 Notes,1.02 (Online 1.18) Notes,,
21,22 Nov 2014,,1.03 (Online 1.19) Notes,,
22,26 Nov 2014,,1.04 (Online 1.20) Notes,,
23,18 Dec 2014,Festive Surprise[] 1.19 Notes,Festive Surprise 1.05 (Online 1.21) Notes,,
24,23 Dec 2014,1.20 Notes,1.06 (Online 1.22) Notes,,
25,10 Mar 2015,Heists Update[] ​Update 1.21 Notes,Heists Update 1.07 (Online 1.23) Notes,,
26,15 Mar 2015,1.22 Notes,1.08 (Online 1.24) Notes,,
27,26 Mar 2015,1.23 Notes,1.09 (Online 1.25) Notes,,
28,2 Apr 2015,,1.10 (Online 1.26) Notes,,
29,14 Apr 2015,,,Release v1.0,
30,14 Apr 2015,,,1.01 (online v1.24) Notes,
31,17 Apr 2015,,,Build 335.1 (online 1.24) Notes,
32,30 Apr 2015,,,Build 350.1 (online 1.25) Notes,
33,1 May 2015,,,Build 350.2 (online 1.26) Notes,
34,10 Jun 2015,Ill-Gotten Gains Part 1[] 1.24 (Online 1.27) Notes,Ill-Gotten Gains Part 1 1.11 (Online 1.27) Notes,Ill-Gotten Gains Part 1 350.3 (Online 1.27) Notes,
35,08 Jul 2015,Ill-Gotten Gains Part 2[] 1.25 (Online 1.28) Notes,Ill-Gotten Gains Part 2 1.12 (Online 1.28) Notes,Ill-Gotten Gains Part 2 393.2 (Online 1.28) Notes,
36,21 Jul 2015,,,Build 393.4 (Online 1.28.01) Notes Official,
37,15 Sep 2015,,Freemode Events Update[] Title Update 1.13 (Online 1.29) Notes,Freemode Events Update Title Update 1.13 (Online 1.29) Notes,
38,20 Oct 2015,,GTA Online: Lowriders[] Title Update 1.14 (Online 1.30) Notes,GTA Online: Lowriders Title Update 1.14 (Online 1.30) Notes,
39,29 Oct 2015,,Halloween Surprise,Halloween Surprise,
40,17 Nov 2015,(Online 1.29) Notes Official R*Notes,,,
41,15 Dec 2015,,GTA Online: Executives and Other Criminals[] Title Update 1.15 (Online 1.31) Notes,GTA Online: Executives and Other Criminals Title Update 1.15 (Online 1.31) Notes,
42,28 Jan 2016,,Title Update 1.16 (Online 1.32) Notes,Title Update 1.16 (Online 1.32) Notes,
43,11 Feb 2016,GTA Online: Be My Valentine,GTA Online: Be My Valentine,GTA Online: Be My Valentine,
44,26 Feb 16,,Rhino Hunt Week,Rhino Hunt Week,
45,15 Mar 2016,,Lowriders: Custom Classics[] Title Update 1.17 (Online 1.33) Notes,Lowriders: Custom Classics Title Update 1.17 (Online 1.33) Notes,
46,01 Apr 16,,Tornado Week,Tornado Week,
47,08 Apr 16,,Adversary Modes Week,Adversary Modes Week,
48,15 Apr 16,,Sabre Week,Sabre Week,
49,22 Apr 16,,High Life Week,High Life Week,
50,29 Apr 16,,In and Out Week,In and Out Week,
51,06 May 16,,Time Trials Week,Time Trials Week,
52,13 May 16,,Combat Week,Combat Week,
53,07 Jun 2016,,GTA Online: Further Adventures in Finance and Felony[] Title Update 1.18 (Online 1.34) Notes,GTA Online: Further Adventures in Finance and Felony Title Update 1.18 (Online 1.34) Notes,
54,14 Jun 16,,Trading Places Week,Trading Places Week,
55,21 Jun 16,,Power Play Week,Power Play Week,
56,28 Jun 16,,Pfister 811 Week,Pfister 811 Week,
57,05 Jul 16,,Seven-70 Week,Seven-70 Week,
58,12 Jul 2016,,GTA Online: Cunning Stunts[] Title Update 1.19 (Online 1.35) Notes,GTA Online: Cunning Stunts Title Update 1.19 (Online 1.35) Notes,
59,19 Jul 16,,Cunning Stunts Bonuses I,Cunning Stunts Bonuses I,
60,26 Jul 16,,Cunning Stunts Bonuses II,Cunning Stunts Bonuses II,
61,02 Aug 16,,Entourage Week,Entourage Week,
62,04 Oct 2016,,GTA Online: Bikers[] Title Update 1.20 (Online 1.36) Notes,GTA Online: Bikers Title Update 1.20 (Online 1.36) Notes,
63,11 Oct 16,,Daemon and Raptor Week,Daemon and Raptor Week,
64,25 Oct 16,,Vortex and Sanctus Week,Vortex and Sanctus Week,
65,28 Oct 16,,Vortex and Sanctus Week (Cont),Vortex and Sanctus Week (Cont),
66,01 Nov 16,,Tornado Rat Rod Week,Tornado Rat Rod Week,
67,08 Nov 16,,Shotaro Week,Shotaro Week,
68,15 Nov 16,,Esskey Week,Esskey Week,
69,22 Nov 16,,Youga Classic Week,Youga Classic Week,
70,29 Nov 16,,Online Creator Expansion and Bonuses Week,Online Creator Expansion and Bonuses Week,
71,09 Dec 2016,GTAV Title Update 1.36 (PS3 Only) Notes Official,,,
72,13 Dec 2016,,GTA Online: Import/Export[] Title Update 1.21 (Online 1.37) Notes,GTA Online: Import/Export Title Update 1.21 (Online 1.37) Notes,
73,20 Dec 16,,Festive Surprise 2016,Festive Surprise 2016,
74,23 Dec 16,,Festive Surprise 2016 (cont),Festive Surprise 2016 (cont),
75,02 Jan 17,,FCR 1000 Week,FCR 1000 Week,
76,10 Jan 17,,Itali GTB Week,Itali GTB Week,
77,17 Jan 17,,Specter Week,Specter Week,
78,14 Feb 17,,Valentine's Bonuses 2017,Valentine's Bonuses 2017,
79,28 Feb 17,,2017 Stunt Race Week,2017 Stunt Race Week,
80,14 Mar 2017,,Cunning Stunts: Special Vehicle Circuit[] Title Update (Online 1.38) Notes Official,Cunning Stunts: Special Vehicle Circuit Title Update (Online 1.38) Notes,
81,21 Mar 17,,Ruston Week,Ruston Week,
82,28 Mar 17,,Infernus Classic Week,Infernus Classic Week,
83,04 Apr 17,,Turismo Classic Week,Turismo Classic Week,
84,05 Apr 17,,Title Update (Online 1.39) Notes Official,Title Update (Online 1.39) Notes,
85,11 Apr 17,,Land Grab Week,Land Grab Week,
86,18 Apr 17,,Duke O'Death Week,Duke O'Death Week,
87,25 Apr 17,,Tiny Racers Week,Tiny Racers Week,
88,13 Jun 2017,,GTA Online: Gunrunning[] Title Update (Online 1.40) Notes Official,GTA Online: Gunrunning Title Update (Online 1.40) Notes,
89,30 Jun 17,,Independence Day 2017,Independence Day 2017,
90,11 Jul 17,,Cheetah Classic Week,Cheetah Classic Week,
91,18 Jul 17,,Technical Custom Week,Technical Custom Week,
92,25 Jul 17,,Torero Week,Torero Week,
93,01 Aug 17,,Insurgent Pick-Up Custom Week,Insurgent Pick-Up Custom Week,
94,08 Aug 17,,Nightshark Week,Nightshark Week,
95,15 Aug 17,,XA-21 Week,XA-21 Week,
96,22 Aug 17,,Ardent Week,Ardent Week,
97,29 Aug 2017,,GTA Online: Smuggler's Run[] Title Update (Online 1.41) Notes Official,GTA Online: Smuggler's Run Title Update (Online 1.41) Notes,
98,12 Sep 17,,Rapid GT Classic Week,Rapid GT Classic Week,
99,19 Sep 17,,RM-10 Bombushka Week,RM-10 Bombushka Week,
100,26 Sep 17,,Howard NX-25 Week,Howard NX-25 Week,
101,03 Oct 17,,Mogul Week,Mogul Week,
102,10 Oct 17,,Pyro Week,Pyro Week,
103,17 Oct 17,,Transform Race Week,Transform Race Week,
104,27 Oct 17,,Halloween Surprise,Halloween Surprise,
105,31 Oct 17,,Halloween Surprise (cont),Halloween Surprise (cont),
106,07 Nov 17,,P-45 Nokota Week,P-45 Nokota Week,
107,14 Nov 17,,Cyclone Week,Cyclone Week,
108,21 Nov 17,,FH-1 Hunter Week,FH-1 Hunter Week,
109,28 Nov 17,,P-996 LAZER Week,P-996 LAZER Week,
110,12 Dec 2017,,GTA Online: Doomsday Heist[] Title Update (Online 1.42) Notes Official,GTA Online: Doomsday Heist Title Update (Online 1.42) Notes,
111,19 Dec 17,,Festive Surprise 2017,Festive Surprise 2017,
112,22 Dec 17,,Festive Surprise 2017 (Cont),Festive Surprise 2017 (Cont),
113,25 Dec 17,,Festive Surprise 2017 (Cont),Festive Surprise 2017 (Cont),
114,26 Dec 17,,Festive Surprise 2017 (Cont),Festive Surprise 2017 (Cont),
115,02 Jan 18,,Savestra Week,Savestra Week,
116,09 Jan 18,,Viseris Week,Viseris Week,
117,16 Jan 18,,GT500 Week,GT500 Week,
118,23 Jan 18,,Revolter Week,Revolter Week,
119,30 Jan 18,,Neon Week,Neon Week,
120,06 Feb 18,,Battle Week,Battle Week,
121,13 Feb 18,,Valentine's Day 2018,Valentine's Day 2018,
122,20 Feb 18,,GTA Online Bonuses (February 2018) (Karin 190z Week),GTA Online Bonuses (February 2018) (Karin 190z Week),
123,27 Feb 18,,GTA Online Bonuses (March 2018 Part 1) (Comet SR Week),GTA Online Bonuses (March 2018 Part 1) (Comet SR Week),
124,20 Mar 2018,,GTA Online: Southern San Andreas Super Sport Series[] Title Update (Online 1.43) Notes Official,GTA Online: Southern San Andreas Super Sport Series Title Update (Online 1.43) Notes,
125,27 Mar 18,,Ellie and Tezeract Week,Ellie and Tezeract Week,
126,03 Apr 18,,Target Assault Week,Target Assault Week,
127,17 Apr 18,,The Vespucci Job Week,The Vespucci Job Week,
128,01 May 18,,Special Vehicle Stunt Race Week,Special Vehicle Stunt Race Week,
129,08 May 18,,Business Week,Business Week,
130,15 May 18,,Trap Door Week,Trap Door Week,
131,29 May 18,,Madrazo Dispatch Services Week,Madrazo Dispatch Services Week,
132,05 Jun 18,,Transform Race and Creator Updates Week,Transform Race and Creator Updates Week,
133,19 Jun 18,,GTA Online Bonuses (June 2018 Part 2),GTA Online Bonuses (June 2018 Part 2),
134,24 Jul 2018,,GTA Online: After Hours[] Title Update (Online 1.44) Notes Official,GTA Online: After Hours Title Update (Online 1.44) Notes,
135,31 Jul 18,,Tale of Us Residency Week,Tale of Us Residency Week,
136,03 Aug 18,,Bounty Target/Stone Hatchet,Bounty Target/Stone Hatchet,
137,07 Aug 18,,Dixon Residency Week,Dixon Residency Week,
